exp_name,rep_id,trial_id,gen,replay_gen,fitness_mean,fitness_max,scores_entropy,scores_unique,collective_score
2024_11_26_01__exploration_tournament,043,13,49900,2,8062.72,9900,3.62022,180,9900
2024_11_26_01__exploration_tournament,043,14,49900,2,7589.67,9900,4.25591,212,9900
2024_11_26_01__exploration_tournament,043,15,49900,2,7900.88,9900,3.88886,193,9900
2024_11_26_01__exploration_tournament,043,16,49900,2,8003.31,10000,3.73728,186,10000
2024_11_26_01__exploration_tournament,043,17,49900,2,4629.03,5200,2.28825,112,5200
2024_11_26_01__exploration_tournament,043,18,49900,2,7501.66,9400,3.87344,193,9400
2024_11_26_01__exploration_tournament,043,19,49900,2,8028.9,9900,3.63975,181,9900
2024_11_26_01__exploration_tournament,043,20,49900,2,5075.59,5900,2.7482,135,5900
2024_11_26_01__exploration_tournament,043,21,49900,2,6734.72,8100,3.45963,171,8100
2024_11_26_01__exploration_tournament,043,22,49900,2,5190.78,5900,2.65651,129,5900
2024_11_26_01__exploration_tournament,043,23,49900,2,7725.66,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,24,49900,2,7855.06,10000,4.09628,203,10000
2024_11_26_01__exploration_tournament,043,25,49900,2,7637.29,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,26,49900,2,7688.25,9900,4.30803,214,9900
2024_11_26_01__exploration_tournament,043,27,49900,2,7982.5,9900,3.75276,186,9900
2024_11_26_01__exploration_tournament,043,28,49900,2,8167.52,9900,3.52241,175,9900
2024_11_26_01__exploration_tournament,043,29,49900,2,5615.16,6700,3.2671,162,6700
2024_11_26_01__exploration_tournament,043,30,49900,2,3496.68,3800,1.68243,82,3800
2024_11_26_01__exploration_tournament,043,31,49900,2,7575.13,9400,3.67879,183,9400
2024_11_26_01__exploration_tournament,043,32,49900,2,5233.22,5900,2.40863,118,5900
2024_11_26_01__exploration_tournament,043,33,49900,2,5052.17,5900,2.93106,145,5900
2024_11_26_01__exploration_tournament,043,34,49900,2,7764.49,9600,3.65928,182,9600
2024_11_26_01__exploration_tournament,043,35,49900,2,7896.31,9900,3.86944,192,9900
2024_11_26_01__exploration_tournament,043,36,49900,2,7770.88,9900,4.14038,206,9900
2024_11_26_01__exploration_tournament,043,37,49900,2,7665.5,9400,3.94153,195,9400
2024_11_26_01__exploration_tournament,043,38,49900,2,6634.9,8300,3.79169,188,8300
2024_11_26_01__exploration_tournament,043,39,49900,2,3621.24,4000,1.99015,98,4000
2024_11_26_01__exploration_tournament,043,40,49900,2,2260.9,2400,1.22868,59,2400
2024_11_26_01__exploration_tournament,043,41,49900,2,8013.49,9900,3.79569,189,9900
2024_11_26_01__exploration_tournament,043,42,49900,2,7925.53,9900,3.73728,186,9900
2024_11_26_01__exploration_tournament,043,43,49900,2,7840.31,9900,3.92766,195,9900
2024_11_26_01__exploration_tournament,043,44,49900,2,7409.89,9400,3.94704,196,9400
2024_11_26_01__exploration_tournament,043,45,49900,2,7588.71,9400,3.81859,188,9400
2024_11_26_01__exploration_tournament,043,46,49900,2,7874.46,9900,3.98979,199,9900
2024_11_26_01__exploration_tournament,043,47,49900,2,7950.48,9900,3.99964,198,9900
2024_11_26_01__exploration_tournament,043,48,49900,2,8032.71,9900,3.56156,177,9900
2024_11_26_01__exploration_tournament,043,49,49900,2,4611.82,5200,2.21185,109,5200
2024_11_26_01__exploration_tournament,043,50,49900,2,7949.91,9900,3.81859,188,9900
2024_11_26_01__exploration_tournament,043,1,49900,3,7756.25,9900,4.06316,202,9900
2024_11_26_01__exploration_tournament,043,2,49900,3,7858.69,9900,3.81514,190,9900
2024_11_26_01__exploration_tournament,043,3,49900,3,7873.72,9900,3.79914,187,9900
2024_11_26_01__exploration_tournament,043,4,49900,3,7842.5,9900,3.63975,181,9900
2024_11_26_01__exploration_tournament,043,5,49900,3,7603.46,9900,4.32722,215,9900
2024_11_26_01__exploration_tournament,043,6,49900,3,7774.67,9900,3.98979,199,9900
2024_11_26_01__exploration_tournament,043,7,49900,3,7920.85,9900,3.98979,199,9900
2024_11_26_01__exploration_tournament,043,8,49900,3,8062.72,9900,3.62022,180,9900
2024_11_26_01__exploration_tournament,043,9,49900,3,7589.67,9900,4.25591,212,9900
2024_11_26_01__exploration_tournament,043,10,49900,3,7900.88,9900,3.88886,193,9900
2024_11_26_01__exploration_tournament,043,11,49900,3,7943.11,9900,3.71379,184,9900
2024_11_26_01__exploration_tournament,043,12,49900,3,7824.1,9900,3.88886,193,9900
2024_11_26_01__exploration_tournament,043,13,49900,3,7874.86,9900,3.93166,196,9900
2024_11_26_01__exploration_tournament,043,14,49900,3,8028.9,9900,3.63975,181,9900
2024_11_26_01__exploration_tournament,043,15,49900,3,7950.29,9900,3.93166,196,9900
2024_11_26_01__exploration_tournament,043,16,49900,3,7739.06,9900,4.21744,210,9900
2024_11_26_01__exploration_tournament,043,17,49900,3,7771.27,9900,4.03832,200,9900
2024_11_26_01__exploration_tournament,043,18,49900,3,7725.66,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,19,49900,3,7855.06,10000,4.09628,203,10000
2024_11_26_01__exploration_tournament,043,20,49900,3,7637.29,9900,4.06716,203,9900
2024_11_26_01__exploration_tournament,043,21,49900,3,7688.25,9900,4.30803,214,9900
2024_11_26_01__exploration_tournament,043,22,49900,3,7982.5,9900,3.75276,186,9900
2024_11_26_01__exploration_tournament,043,23,49900,3,8167.52,9900,3.52241,175,9900
2024_11_26_01__exploration_tournament,043,24,49900,3,7410.25,9900,4.5662,229,9900
2024_11_26_01__exploration_tournament,043,25,49900,3,7917.91,9900,3.87344,193,9900
2024_11_26_01__exploration_tournament,043,26,49900,3,7910.72,9900,3.84451,190,9900
2024_11_26_01__exploration_tournament,043,27,49900,3,8191.94,9900,3.56512,175,9900
2024_11_26_01__exploration_tournament,043,28,49900,3,7958.28,9900,4.02849,201,9900
2024_11_26_01__exploration_tournament,043,29,49900,3,7949.7,9900,3.71779,185,9900
2024_11_26_01__exploration_tournament,043,30,49900,3,7896.31,9900,3.86944,192,9900
2024_11_26_01__exploration_tournament,043,31,49900,3,7770.88,9900,4.14038,206,9900
2024_11_26_01__exploration_tournament,043,32,49900,3,7985.09,9900,4.05765,201,9900
2024_11_26_01__exploration_tournament,043,33,49900,3,7598.27,9900,4.25991,213,9900
2024_11_26_01__exploration_tournament,043,34,49900,3,7928.49,9900,3.92766,195,9900
2024_11_26_01__exploration_tournament,043,35,49900,3,8089.5,9900,3.71406,182,9900
2024_11_26_01__exploration_tournament,043,36,49900,3,8013.49,9900,3.79569,189,9900
2024_11_26_01__exploration_tournament,043,37,49900,3,7925.53,9900,3.73728,186,9900
2024_11_26_01__exploration_tournament,043,38,49900,3,7840.31,9900,3.92766,195,9900
2024_11_26_01__exploration_tournament,043,39,49900,3,7814.88,9900,4.02849,201,9900
2024_11_26_01__exploration_tournament,043,40,49900,3,7868.3,9900,3.95104,197,9900
2024_11_26_01__exploration_tournament,043,41,49900,3,7874.46,9900,3.98979,199,9900
2024_11_26_01__exploration_tournament,043,42,49900,3,7950.48,9900,3.99964,198,9900
2024_11_26_01__exploration_tournament,043,43,49900,3,8032.71,9900,3.56156,177,9900
2024_11_26_01__exploration_tournament,043,44,49900,3,7810.47,9900,3.83459,191,9900
2024_11_26_01__exploration_tournament,043,45,49900,3,7949.91,9900,3.81859,188,9900
2024_11_26_01__exploration_tournament,043,46,49900,3,7816.83,9900,4.15966,207,9900
2024_11_26_01__exploration_tournament,043,47,49900,3,7857.47,9900,3.90826,194,9900
2024_11_26_01__exploration_tournament,043,48,49900,3,8027.69,9900,3.67479,182,9900
2024_11_26_01__exploration_tournament,043,49,49900,3,7815.48,9900,3.92215,194,9900
2024_11_26_01__exploration_tournament,043,50,49900,3,7974.92,10000,3.83059,190,10000
2024_11_26_01__exploration_tournament,043,1,49900,4,7774.67,9900,3.98979,199,9900
2024_11_26_01__exploration_tournament,043,2,49900,4,7920.85,9900,3.98979,199,9900
2024_11_26_01__exploration_tournament,043,3,49900,4,8062.72,9900,3.62022,180,9900
2024_11_26_01__exploration_tournament,043,4,49900,4,7589.67,9900,4.25591,212,9900
2024_11_26_01__exploration_tournament,043,5,49900,4,7900.88,9900,3.88886,193,9900
2024_11_26_01__exploration_tournament,043,6,49900,4,7943.11,9900,3.71379,184,9900
2024_11_26_01__exploration_tournament,043,7,49900,4,7824.1,9900,3.88886,193,9900
2024_11_26_01__exploration_tournament,043,8,49900,4,7874.86,9900,3.93166,196,9900
