exp_name,rep_id,trial_id,gen,replay_gen,fitness_mean,fitness_max,scores_entropy,scores_unique,collective_score
2025_05_16_01__exploration_lexicase_replays,001,1,49500,500,7963.3,9900,3.60067,179,9900
2025_05_16_01__exploration_lexicase_replays,001,2,49500,500,7874.71,9900,3.79169,188,9900
2025_05_16_01__exploration_lexicase_replays,001,3,49500,500,7833.49,9600,3.65928,182,9600
2025_05_16_01__exploration_lexicase_replays,001,4,49500,500,8011.94,9900,3.66928,181,9900
2025_05_16_01__exploration_lexicase_replays,001,5,49500,500,7724.71,9600,3.83459,191,9600
2025_05_16_01__exploration_lexicase_replays,001,6,49500,500,7920.91,9900,3.73728,186,9900
2025_05_16_01__exploration_lexicase_replays,001,7,49500,500,7832.53,9900,3.89286,194,9900
2025_05_16_01__exploration_lexicase_replays,001,8,49500,500,7928.12,9900,3.6983,184,9900
2025_05_16_01__exploration_lexicase_replays,001,9,49500,500,7941.72,9700,3.6983,184,9700
2025_05_16_01__exploration_lexicase_replays,001,10,49500,500,8149.89,9900,3.6983,184,9900
2025_05_16_01__exploration_lexicase_replays,001,11,49500,500,7853.28,9900,3.93166,196,9900
2025_05_16_01__exploration_lexicase_replays,001,12,49500,500,7610.88,9700,3.96642,197,9700
2025_05_16_01__exploration_lexicase_replays,001,13,49500,500,7651.69,9700,3.87344,193,9700
2025_05_16_01__exploration_lexicase_replays,001,14,49500,500,7934.52,9900,3.6943,183,9900
2025_05_16_01__exploration_lexicase_replays,001,15,49500,500,8025.73,9900,3.69458,181,9900
2025_05_16_01__exploration_lexicase_replays,001,16,49500,500,7984.31,9900,3.6983,184,9900
2025_05_16_01__exploration_lexicase_replays,001,17,49500,500,7958.11,9900,3.67879,183,9900
2025_05_16_01__exploration_lexicase_replays,001,18,49500,500,8076.51,9900,3.89286,194,9900
2025_05_16_01__exploration_lexicase_replays,001,19,49500,500,8020.32,9900,3.66279,180,9900
2025_05_16_01__exploration_lexicase_replays,001,20,49500,500,7917.69,9900,4.07697,202,9900
2025_05_16_01__exploration_lexicase_replays,001,21,49500,500,7822.5,9900,3.89286,194,9900
2025_05_16_01__exploration_lexicase_replays,001,22,49500,500,7972.93,9700,3.40076,168,9700
2025_05_16_01__exploration_lexicase_replays,001,23,49500,500,7870.48,9900,3.74725,185,9900
2025_05_16_01__exploration_lexicase_replays,001,24,49500,500,7649.72,9600,3.79569,189,9600
2025_05_16_01__exploration_lexicase_replays,001,25,49500,500,8032.72,9900,3.48323,173,9900
2025_05_16_01__exploration_lexicase_replays,001,26,49500,500,7789.88,9700,3.73728,186,9700
2025_05_16_01__exploration_lexicase_replays,001,27,49500,500,7499.06,9900,4.37508,219,9900
2025_05_16_01__exploration_lexicase_replays,001,28,49500,500,7837.87,9900,3.97042,198,9900
2025_05_16_01__exploration_lexicase_replays,001,29,49500,500,7874.5,9900,3.84451,190,9900
2025_05_16_01__exploration_lexicase_replays,001,30,49500,500,7939.73,9700,3.63975,181,9700
2025_05_16_01__exploration_lexicase_replays,001,31,49500,500,7785.89,9700,4.10179,204,9700
2025_05_16_01__exploration_lexicase_replays,001,32,49500,500,7767.91,9700,3.77623,188,9700
2025_05_16_01__exploration_lexicase_replays,001,33,49500,500,7543.05,9700,4.19819,209,9700
