Generation,phylogenetic_diversity,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness
1090,22989,601.239,1,1431,408214,-1,-1,-1,0
1100,23467,569.617,1,1448,388805,-1,-1,-1,0
1110,23680,599.308,1,1461,424809,-1,-1,-1,0
1120,23768,593.505,1,1472,407743,-1,-1,-1,0
1130,24180,625.79,1,1486,416214,-1,-1,-1,0
1140,24012,581.961,1,1502,427466,-1,-1,-1,0
1150,23981,650.346,1,1517,467567,-1,-1,-1,0
1160,24220,615.621,1,1534,457003,-1,-1,-1,0
1170,24619,653.406,1,1549,486374,-1,-1,-1,0
1180,24861,613.205,1,1564,476500,-1,-1,-1,0
1190,25294,649.583,1,1581,482334,-1,-1,-1,0
1200,25416,631.198,1,1594,480207,-1,-1,-1,0
1210,25207,624.919,1,1605,500885,-1,-1,-1,0
1220,25621,618.81,1,1619,500089,-1,-1,-1,0
1230,25811,701.438,1,1636,532835,-1,-1,-1,0
1240,25996,729.735,1,1653,548609,-1,-1,-1,0
1250,26139,708.413,1,1665,550825,-1,-1,-1,0
1260,26422,635.337,1,1677,527035,-1,-1,-1,0
1270,26819,672.97,1,1693,564309,-1,-1,-1,0
1280,26264,675.87,1,1704,567691,-1,-1,-1,0
1290,26614,662.059,1,1719,564979,-1,-1,-1,0
1300,26929,699.118,1,1731,584365,-1,-1,-1,0
1310,27240,668.495,1,1744,543907,-1,-1,-1,0
1320,27429,722.317,1,1756,601397,-1,-1,-1,0
1330,27504,644.401,1,1770,564424,-1,-1,-1,0
1340,27926,662.482,1,1785,589364,-1,-1,-1,0
1350,28251,670.887,1,1802,612683,-1,-1,-1,0
1360,28252,691.683,1,1813,636541,-1,-1,-1,0
1370,28422,716.661,1,1826,661229,-1,-1,-1,0
1380,28618,653.395,1,1840,636548,-1,-1,-1,0
1390,28902,749.36,1,1852,669481,-1,-1,-1,0
1400,29155,766.43,1,1869,679313,-1,-1,-1,0
1410,29471,785.54,1,1885,696328,-1,-1,-1,0
1420,29833,746.195,1,1899,685953,-1,-1,-1,0
1430,30005,784.149,1,1912,733177,-1,-1,-1,0
1440,30454,772.639,1,1928,714252,-1,-1,-1,0
1450,30751,784.872,1,1940,727783,-1,-1,-1,0
1460,31124,768.738,1,1956,725802,-1,-1,-1,0
1470,31371,753.721,1,1973,725201,-1,-1,-1,0
1480,31670,804.478,1,1986,751634,-1,-1,-1,0
1490,31679,853.382,1,2001,798109,-1,-1,-1,0
1500,31721,778.832,1,2021,765447,-1,-1,-1,0
1510,31416,822.952,1,2038,798967,-1,-1,-1,0
1520,31831,767.854,1,2054,772422,-1,-1,-1,0
1530,31728,739.44,1,2067,773215,-1,-1,-1,0
1540,31820,872.576,1,2077,878313,-1,-1,-1,0
1550,32202,798.656,1,2091,829499,-1,-1,-1,0
1560,32255,824.874,1,2097,847483,-1,-1,-1,0
1570,32699,792.131,1,2114,827110,-1,-1,-1,0
1580,32096,844.737,1,2128,884517,-1,-1,-1,0
1590,31670,873.374,1,2140,891278,-1,-1,-1,0
1600,31884,877.534,1,2156,888504,-1,-1,-1,0
1610,31731,879.332,1,2171,905405,-1,-1,-1,0
1620,31827,864.905,1,2185,903515,-1,-1,-1,0
1630,32140,929.516,1,2201,953366,-1,-1,-1,0
1640,32311,917.797,1,2217,985513,-1,-1,-1,0
1650,32561,878.305,1,2231,937175,-1,-1,-1,0
1660,32928,903.27,1,2249,984602,-1,-1,-1,0
1670,33169,912.547,1,2265,995779,-1,-1,-1,0
1680,33484,859.585,1,2280,938263,-1,-1,-1,0
1690,33543,873.496,1,2297,966589,-1,-1,-1,0
1700,33730,886.597,1,2315,1.00235e+06,-1,-1,-1,0
1710,33788,935.895,1,2330,1.02655e+06,-1,-1,-1,0
1720,33810,934.004,1,2346,1.05293e+06,-1,-1,-1,0
1730,34107,957.246,1,2360,1.08711e+06,-1,-1,-1,0
1740,33763,943.811,1,2373,1.13057e+06,-1,-1,-1,0
1750,33971,839.754,1,2387,1.01916e+06,-1,-1,-1,0
1760,34053,974.765,1,2405,1.12534e+06,-1,-1,-1,0
1770,34535,1005.1,1,2419,1.15853e+06,-1,-1,-1,0
1780,34698,1010.34,1,2435,1.21023e+06,-1,-1,-1,0
1790,34983,937.753,1,2450,1.17833e+06,-1,-1,-1,0
1800,35302,932.684,1,2463,1.17988e+06,-1,-1,-1,0
1810,35458,980.712,1,2475,1.21833e+06,-1,-1,-1,0
1820,35753,1040.9,1,2489,1.24984e+06,-1,-1,-1,0
1830,36174,1061.76,1,2500,1.29694e+06,-1,-1,-1,0
1840,36557,995.441,1,2514,1.22839e+06,-1,-1,-1,0
1850,36858,984.744,1,2528,1.24711e+06,-1,-1,-1,0
1860,37184,1019.35,1,2545,1.25504e+06,-1,-1,-1,0
1870,37061,1002.86,1,2556,1.27123e+06,-1,-1,-1,0
1880,37055,953.087,1,2571,1.25206e+06,-1,-1,-1,0
1890,37297,992.208,1,2585,1.31404e+06,-1,-1,-1,0
1900,37608,1034.73,1,2602,1.33253e+06,-1,-1,-1,0
1910,37882,1017.36,1,2617,1.33984e+06,-1,-1,-1,0
1920,38071,1093.35,1,2633,1.3824e+06,-1,-1,-1,0
1930,38422,995.966,1,2651,1.30516e+06,-1,-1,-1,0
1940,38758,1073.63,1,2664,1.36462e+06,-1,-1,-1,0
1950,39105,1152.05,1,2675,1.43269e+06,-1,-1,-1,0
1960,39387,1147.63,1,2692,1.41305e+06,-1,-1,-1,0
1970,39432,1047.92,1,2700,1.35637e+06,-1,-1,-1,0
1980,39579,1092.84,1,2715,1.46277e+06,-1,-1,-1,0
1990,40004,1148.33,1,2729,1.52893e+06,-1,-1,-1,0
2000,39979,1123.25,1,2743,1.48497e+06,-1,-1,-1,0
2010,39671,1042.94,1,2758,1.45299e+06,-1,-1,-1,0
2020,40079,1044.04,1,2772,1.44246e+06,-1,-1,-1,0
2030,40096,1196.46,1,2785,1.60652e+06,-1,-1,-1,0
2040,40605,1117.55,1,2800,1.54479e+06,-1,-1,-1,0
2050,40368,1126.52,1,2817,1.5599e+06,-1,-1,-1,0
2060,40752,1127.89,1,2834,1.60092e+06,-1,-1,-1,0
2070,41129,1200.29,1,2850,1.63852e+06,-1,-1,-1,0
2080,41332,1098.31,1,2866,1.59733e+06,-1,-1,-1,0
2090,41687,1103.07,1,2880,1.61857e+06,-1,-1,-1,0
2100,41793,1150.63,1,2895,1.63457e+06,-1,-1,-1,0
2110,42118,1185.86,1,2907,1.67131e+06,-1,-1,-1,0
2120,42188,1222.83,1,2921,1.72584e+06,-1,-1,-1,0
2130,42574,1155.95,1,2936,1.65155e+06,-1,-1,-1,0
2140,42862,1216.37,1,2950,1.71147e+06,-1,-1,-1,0
2150,43229,1307.54,1,2966,1.77603e+06,-1,-1,-1,0
2160,43473,1162.53,1,2983,1.71429e+06,-1,-1,-1,0
2170,43706,1293.25,1,2991,1.80695e+06,-1,-1,-1,0
